movie_name,movie_comment
夢想裁縫師,山不轉人轉對吧~! 還有他老爸對他說................
電影 K-ON！輕音部,為何K-ON！能在我心中永久留下，我想是因為高中是有時限的，沒有一個人能永遠是高中生，那段時間能合理的、理所當然的跟朋友享受歡樂時光、享受青春，即便有考試什麼的，其實也不用到多在意，而K-ON！的主角群們在那三年裡一起經歷過的一切看似沒有大風大浪，也不是多特別，但正因如此那段時光才顯得格外耀眼、彌足珍貴、無法忘懷，那段所謂無意義的一分一秒才是最有意義的一段回憶，我相信喜歡這部作品的人們一定也都很憧憬唯、澪、律、紬、梓一同歡笑，一同哭泣，一同經歷青春的那段時光，多希望時間就此止住，多希望那就是永恆，就是因為她們展現了她們的青春給我們看我們才能持續對她們的青春抱有希望，多數人的學生時期也都和她們一樣就是一起講些幹話、聊聊天、吃零食之類的，一起讀點書，一起準備運動會、園遊會、舞蹈比賽、合唱比賽、一起拼大考然後再一起畢業，回首過去、細數做過的所有盡是些微不足道、不值得一提的小事，但留下的歡笑仍然在耳邊迴響，將看似無所事事的日常幻化為珍藏一輩子的回憶，這就是我認為的“K-ON！”。
電影版 狂賭之淵2：絕體絕命俄羅斯輪盤,前面有點小出戲，因為沒看過原作哈哈，某幾幕的特效會讓人分心，不過總體而言內容和畫面感還不錯，然後喜歡看妹子ㄉ可以看這部，妹子都很正（?
作家我就爛,發生在韓國頹廢男作家身邊的一些情事， 及家庭故事的發展
在回家之後重新開始,"可不可以不要給星,因為這部電影真的很糟,良心建議不要為這部電影浪費時間金錢,因為真的很不值得"
在回家之後重新開始,怎麼只有北部，欺負沒住在北部的人嗎
在回家之後重新開始,台中這是被排擠ㄌ嗎，我好想看qq台中會上映嗎？
蜘蛛人：無家日,"普通
唯一亮點
歷代蜘蛛人及反派合體演出"
蜘蛛人：無家日,"被朋友拉去看，前面真的演得蠻差的..尷尬癌都快發作了
劇情更不用說的爛，只有打鬥跟特效值得一看
太多bug就不說了，不是漫威迷千萬別去看..."
蜘蛛人：無家日,"就不說了 五星一定給！
真的有資訊爆破誒！"
蜘蛛人：無家日,"八抓博士竟然變好人，沙人中立，壞人的劇情走向太牽強，綠魔人是首領，最後蠻感人的畫面也不錯，三代同堂蜘蛛人的陶比看得出來真的老了ㄧ點。

話說回來，第二代沒看過，我真心覺得第一代的蜘蛛人比較讓我入迷"
